datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Mon Nov 27 00:17:51 UTC 2023,33,173829,19.57 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1804800
Mon Nov 27 00:17:53 UTC 2023,33,176452,19.67 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:17:54 UTC 2023,33,202623,19.67 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:17:56 UTC 2023,33,209997,24.46 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:17:57 UTC 2023,33,194220,24.46 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:17:58 UTC 2023,33,194456,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:17:59 UTC 2023,33,181480,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:01 UTC 2023,33,179229,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:03 UTC 2023,33,179477,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:04 UTC 2023,33,179253,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:05 UTC 2023,33,180396,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:07 UTC 2023,33,180272,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:08 UTC 2023,33,180006,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:10 UTC 2023,33,180022,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:11 UTC 2023,27,179901,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:13 UTC 2023,27,179898,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:14 UTC 2023,27,179905,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:16 UTC 2023,27,180118,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:17 UTC 2023,27,180138,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:19 UTC 2023,27,180125,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:20 UTC 2023,27,180104,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:21 UTC 2023,27,176857,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:23 UTC 2023,27,173396,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:24 UTC 2023,27,173409,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
Mon Nov 27 00:18:26 UTC 2023,27,173397,25.65 KB (0.00 bytes is purgeable),4.43 MB (391.11 KB is purgeable),1804800
