Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701044136424,12512,4442,2136,4169000,100
1701044136532,12512,4442,2136,4169000,100
1701044136653,12512,4442,2136,4169000,100
1701044136764,12512,4442,2136,4169000,100
1701044136868,12512,4442,2136,4169000,100
1701044136976,12512,4442,2136,4169000,100
1701044137082,12512,4442,2136,4169000,100
1701044137187,12512,4442,2136,4169000,100
1701044137300,12512,4442,2136,4169000,100
1701044137420,12512,4442,2136,4169000,100
1701044137528,12512,4442,2136,4169000,100
1701044137631,12512,4442,2136,4169000,100
1701044137737,12512,4442,2136,4169000,100
1701044137840,12512,4442,2136,4169000,100
1701044137944,12512,4442,2136,4169000,100
1701044138051,12512,4442,2136,4169000,100
1701044138157,12512,4442,2136,4169000,100
1701044138265,12512,4442,2136,4169000,100
1701044138370,12512,4442,2136,4169000,100
1701044138476,12512,4442,2136,4169000,100
1701044138581,12512,4442,2136,4169000,100
1701044138686,12512,4442,2136,4169000,100
1701044138791,12512,4442,2136,4169000,100
1701044138843,12512,4442,2136,4169000,100
1701044138896,12512,4442,2136,4169000,100
1701044138947,12512,4442,2136,4169000,100
1701044139000,12512,4442,2136,4169000,100
1701044139052,12512,4442,2136,4169000,100
1701044139105,12512,4442,2136,4169000,100
1701044139156,12512,4442,2136,4169000,100
1701044139208,12512,4442,2136,4169000,100
1701044139261,12512,4442,2136,4169000,100
1701044139312,12512,4442,2136,4169000,100
1701044139366,12512,4442,2136,4169000,100
1701044139416,12512,4442,2136,4169000,100
1701044139471,12512,4442,2136,4169000,100
1701044139520,12512,4442,2136,4169000,100
1701044139576,12512,4442,2136,4169000,100
1701044139624,12512,4442,2136,4169000,100
1701044139679,12512,4442,2136,4169000,100
1701044139728,12512,4442,2136,4169000,100
1701044139784,12512,4442,2136,4169000,100
1701044139832,12512,4442,2136,4169000,100
1701044139888,12512,4442,2136,4169000,100
1701044139938,12512,4442,2136,4169000,100
1701044139992,12512,4442,2136,4169000,100
1701044140042,12512,4442,2136,4169000,100
1701044140095,12512,4442,2136,4169000,100
1701044140146,12512,4442,2136,4169000,100
1701044140200,12512,4442,2136,4169000,100
1701044140251,12512,4442,2136,4169000,100
1701044140303,12512,4442,2136,4169000,100
1701044140356,12512,4442,2136,4169000,100
1701044140408,12512,4442,2136,4169000,100
1701044140461,12512,4442,2136,4169000,100
1701044140513,12512,4442,2136,4169000,100
1701044140565,12512,4442,2136,4169000,100
1701044140619,12512,4442,2136,4169000,100
1701044140671,12512,4442,2136,4169000,100
1701044140727,12512,4442,2136,4169000,100
1701044140783,12512,4442,2136,4169000,100
1701044140832,12512,4442,2136,4169000,100
1701044140892,12512,4442,2136,4169000,100
1701044140937,12512,4442,2136,4169000,100
1701044140997,12512,4442,2136,4169000,100
1701044141043,12512,4442,2136,4169000,100
1701044141101,12512,4442,2136,4169000,100
1701044141147,12512,4442,2136,4169000,100
1701044141208,12512,4442,2136,4169000,100
1701044141255,12512,4442,2136,4169000,100
1701044141314,12512,4442,2136,4169000,100
1701044141364,12512,4442,2136,4169000,100
1701044141424,12512,4442,2136,4169000,100
1701044141472,12512,4442,2136,4169000,100
1701044141531,12512,4442,2136,4169000,100
1701044141581,12512,4442,2136,4169000,100
1701044141638,12512,4442,2136,4169000,100
1701044141687,12512,4442,2136,4169000,100
1701044141743,12512,4442,2136,4169000,100
1701044141793,12512,4442,2136,4169000,100
1701044141848,12512,4442,2136,4169000,100
1701044141899,12512,4442,2136,4169000,100
1701044141961,12512,4442,2136,4169000,100
1701044142006,12512,4442,2136,4169000,100
1701044142068,12512,4442,2136,4169000,100
1701044142112,12512,4442,2136,4169000,100
1701044142172,12512,4442,2136,4169000,100
1701044142216,12512,4442,2136,4169000,100
1701044142284,12512,4442,2136,4169000,100
1701044142327,12512,4442,2136,4169000,100
1701044142394,12512,4442,2136,4169000,100
1701044142435,12512,4442,2136,4169000,100
1701044142503,12512,4442,2136,4169000,100
1701044142543,12512,4442,2136,4169000,100
1701044142609,12512,4442,2136,4169000,100
1701044142654,12512,4442,2136,4169000,100
1701044142716,12512,4442,2136,4169000,100
1701044142764,12512,4442,2136,4169000,100
1701044142826,12512,4442,2136,4169000,100
1701044142876,12512,4442,2136,4169000,100
1701044142936,12512,4442,2136,4169000,100
1701044142984,12512,4442,2136,4169000,100
1701044143042,12512,4442,2136,4169000,100
1701044143089,12512,4442,2136,4169000,100
1701044143146,12512,4442,2136,4169000,100
1701044143195,12512,4442,2136,4169000,100
1701044143254,12512,4442,2136,4169000,100
1701044143301,12512,4442,2136,4169000,100
1701044143360,12512,4442,2136,4169000,100
1701044143408,12512,4442,2136,4169000,100
1701044143467,12512,4442,2136,4169000,100
1701044143516,12512,4442,2136,4169000,100
1701044143597,12512,4442,2136,4169000,100
1701044143624,12512,4442,2136,4169000,100
1701044143708,12512,4442,2136,4169000,100
1701044143729,12512,4442,2136,4169000,100
1701044143816,12512,4442,2136,4169000,100
1701044143836,12512,4442,2136,4169000,100
1701044143920,12512,4442,2136,4169000,100
1701044143940,12512,4442,2136,4169000,100
1701044144024,12512,4442,2136,4169000,100
1701044144044,12512,4442,2136,4169000,100
1701044144128,12512,4442,2136,4169000,100
1701044144148,12512,4442,2136,4169000,100
1701044144233,12512,4442,2136,4169000,100
1701044144253,12512,4442,2136,4169000,100
1701044144338,12512,4442,2136,4169000,100
1701044144358,12512,4442,2136,4169000,100
1701044144444,12512,4442,2136,4169000,100
1701044144463,12512,4442,2136,4169000,100
1701044144548,12512,4442,2136,4169000,100
1701044144568,12512,4442,2136,4169000,100
1701044144657,12512,4442,2136,4169000,100
