device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,2136.0,4442.0,12100.725564703398,13.920798312014,13.939249012959197,0.0537514229584125
pixel5g,com-chrome-canary,1,100.0,4135530.5672834315,-581950.4798149705,4442.0,-594726.3111858704,341.7342356655571,349.7735556899574,2.6417742742876364
pixel5g,com-chrome-canary,2,100.0,4169000.0,2136.0,4442.0,12966.022292323869,14.922688466968001,14.950240560666119,0.05759507102250263
pixel5g,com-chrome-canary,3,100.0,4162272.212338897,-295662.296851891,4442.0,-310897.68307627295,364.2597168021131,368.3686563610276,1.4219324191159939
pixel5g,com-chrome-canary,4,100.0,4169000.0,2136.0,4442.0,9467.17497850387,5.495054974373,5.565109064666136,0.04205319125451419
pixel5g,com-chrome-canary,5,100.0,4169000.0,2136.0,4442.0,12270.365699873897,7.1427603976850005,7.215421697378058,0.05450496443883984
pixel5g,com-chrome-canary,6,100.0,4169000.0,2136.0,4442.0,11920.545069826492,6.979701769283,7.004631130864392,0.05295106120016927
pixel5g,com-chrome-canary,7,100.0,4169000.0,2136.0,4442.0,12373.510147991543,14.177509809658998,14.222040203814133,0.054963132077378435
pixel5g,com-chrome-canary,8,100.0,4169000.0,2136.0,4442.0,12449.833404164896,7.237294970613,7.3034244557704655,0.055302159981300475
pixel5g,com-chrome-canary,9,100.0,4169000.0,2136.0,4442.0,11465.297503173932,6.684474453662002,6.729993082669837,0.050928851509098615
