datetime,cpu,mem,Cpu_mem,GPU_mem,cpu_clockspeed
Mon Nov 27 00:49:48 UTC 2023,34,157242,19.67 KB (0.00 bytes is purgeable),4.15 MB (102.09 KB is purgeable),1516800
Mon Nov 27 00:49:50 UTC 2023,34,151561,19.76 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:49:51 UTC 2023,34,169366,19.76 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:49:53 UTC 2023,34,191641,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:49:55 UTC 2023,34,151050,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:49:57 UTC 2023,34,151548,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:49:58 UTC 2023,34,150577,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:00 UTC 2023,34,150648,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:01 UTC 2023,34,150636,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:03 UTC 2023,34,152030,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:04 UTC 2023,34,151894,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:06 UTC 2023,34,151758,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:07 UTC 2023,34,151770,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:09 UTC 2023,34,151622,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:10 UTC 2023,34,151634,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:11 UTC 2023,34,151603,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:13 UTC 2023,34,151755,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:14 UTC 2023,34,151861,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:16 UTC 2023,34,151825,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:17 UTC 2023,34,151792,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:19 UTC 2023,34,151720,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:20 UTC 2023,34,151732,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:22 UTC 2023,34,151768,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:23 UTC 2023,34,151391,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:24 UTC 2023,34,151380,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:26 UTC 2023,34,151399,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:27 UTC 2023,34,151343,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:29 UTC 2023,34,151335,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:30 UTC 2023,34,151360,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:32 UTC 2023,34,151332,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1651200
Mon Nov 27 00:50:33 UTC 2023,34,151364,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:35 UTC 2023,34,151336,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:36 UTC 2023,34,151343,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:37 UTC 2023,34,151208,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:39 UTC 2023,34,151216,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:40 UTC 2023,34,151243,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:42 UTC 2023,34,151232,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:43 UTC 2023,34,151244,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:45 UTC 2023,34,151232,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:46 UTC 2023,34,151248,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:47 UTC 2023,34,150278,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:49 UTC 2023,34,150263,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:50 UTC 2023,34,150269,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:52 UTC 2023,34,150151,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:53 UTC 2023,34,150195,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1651200
Mon Nov 27 00:50:55 UTC 2023,34,150187,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:56 UTC 2023,34,150203,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1651200
Mon Nov 27 00:50:57 UTC 2023,34,150563,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:50:59 UTC 2023,34,150551,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:00 UTC 2023,34,150195,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:02 UTC 2023,34,150167,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1651200
Mon Nov 27 00:51:03 UTC 2023,34,150194,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:05 UTC 2023,34,150167,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1516800
Mon Nov 27 00:51:06 UTC 2023,34,150187,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:08 UTC 2023,34,150183,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:09 UTC 2023,34,150195,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:11 UTC 2023,34,150182,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1651200
Mon Nov 27 00:51:12 UTC 2023,34,150167,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:13 UTC 2023,34,150170,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1651200
Mon Nov 27 00:51:15 UTC 2023,34,150167,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1516800
Mon Nov 27 00:51:16 UTC 2023,34,150191,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:18 UTC 2023,34,150186,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:19 UTC 2023,34,150170,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:21 UTC 2023,34,150134,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:22 UTC 2023,34,150179,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:24 UTC 2023,34,150127,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:25 UTC 2023,34,150139,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:27 UTC 2023,34,150111,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:28 UTC 2023,34,150125,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:29 UTC 2023,34,150115,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:31 UTC 2023,34,150111,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:32 UTC 2023,34,150130,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:34 UTC 2023,34,150118,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:35 UTC 2023,34,150131,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:37 UTC 2023,34,150119,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:38 UTC 2023,34,150135,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:40 UTC 2023,34,150131,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:41 UTC 2023,34,150143,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:43 UTC 2023,34,150122,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:44 UTC 2023,34,150111,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:46 UTC 2023,34,150115,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1516800
Mon Nov 27 00:51:47 UTC 2023,34,150243,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
Mon Nov 27 00:51:48 UTC 2023,34,150258,27.08 KB (0.00 bytes is purgeable),4.16 MB (119.11 KB is purgeable),1804800
