Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1701045405051,9155,4442,2136,4169000,100
1701045405156,9155,4442,2136,4169000,100
1701045405267,9155,4442,2136,4169000,100
1701045405372,9155,4442,2136,4169000,100
1701045405478,9155,4442,2136,4169000,100
1701045405581,9155,4442,2136,4169000,100
1701045405688,9155,4442,2136,4169000,100
1701045405796,9155,4442,2136,4169000,100
1701045405903,9155,4442,2136,4169000,100
1701045406015,9155,4442,2136,4169000,100
1701045406120,9155,4442,2136,4169000,100
1701045406224,9155,4442,2136,4169000,100
1701045406328,9155,4442,2136,4169000,100
1701045406432,9155,4442,2136,4169000,100
1701045406539,9155,4442,2136,4169000,100
1701045406642,9155,4442,2136,4169000,100
1701045406747,9155,4442,2136,4169000,100
1701045406851,9155,4442,2136,4169000,100
1701045406956,9155,4442,2136,4169000,100
1701045407063,9155,4442,2136,4169000,100
1701045407172,9155,4442,2136,4169000,100
1701045407277,9155,4442,2136,4169000,100
1701045407385,9155,4442,2136,4169000,100
1701045407489,9155,4442,2136,4169000,100
1701045407596,9155,4442,2136,4169000,100
1701045407703,9155,4442,2136,4169000,100
1701045407776,9155,4442,2136,4169000,100
1701045407810,9155,4442,2136,4169000,100
1701045407892,9155,4442,2136,4169000,100
1701045407918,9155,4442,2136,4169000,100
1701045408001,9155,4442,2136,4169000,100
1701045408023,9155,4442,2136,4169000,100
1701045408108,9155,4442,2136,4169000,100
1701045408130,9155,4442,2136,4169000,100
1701045408213,9155,4442,2136,4169000,100
1701045408236,9155,4442,2136,4169000,100
1701045408318,9155,4442,2136,4169000,100
1701045408345,9155,4442,2136,4169000,100
1701045408422,9155,4442,2136,4169000,100
1701045408449,9155,4442,2136,4169000,100
1701045408526,9155,4442,2136,4169000,100
1701045408555,9155,4442,2136,4169000,100
1701045408631,9155,4442,2136,4169000,100
1701045408661,9155,4442,2136,4169000,100
1701045408736,9155,4442,2136,4169000,100
1701045408764,9155,4442,2136,4169000,100
1701045408841,9155,4442,2136,4169000,100
