cpu,mem,GPU_mem,cpu_clockspeed,Energy_trapz,delayed_frame
26.74887,158289.1279,5.0054,1777743.155,9.280059,0.555556
22.4563,162501.9432,5.9202,1728688.499,2.56896,0.571429
38.1161,165044.538,5.1271,1788455.417,2.539195,0.428571
32.1463,152829.7345,4.243066,1798800.713,9.099062,0.285714
28.9454,154187.6927,5.054035,1778533.345,9.776182,0.333333
31.8497,157795.4202,4.262425,1532632.854,10.32103,0.526316
27.9893,155175.7674,5.0182,1774233.353,3.1335,0.416667
32.0884,164541.2931,4.26687,1729426.022,9.146938,0.428261
28.9246,152336.6255,4.2844,1744038.814,8.731468,0.277778
29.5815,157662.731,4.29066,1438142.647,10.11994,0.434783
33.1036,157869.5906,4.2369,1575927.508,8.109006,0.058824
29.4055,156331.7011,4.3122,1736639.392,8.434877,0.458333
29.1409,155185.4878,5.0281,1791063.934,7.867705,0.423077
30.2161,161309.5917,4.3194,1783408.256,7.900673,0.392857
30.0409,153246.8002,4.3418,1739436.932,7.964625,0.454545
32.0249,156965.3614,4.30728,1728022.026,3.034841,0.448276
29.3113,166493.1445,5.1086,1786870.851,10.70025,0.612903
27.1659,159513.5857,4.2907,1791902.582,8.177478,0.515151
27.6886,154023.9843,4.2706,1754648.266,8.461245,0.555556
30.5308,155479.5172,5.0786,1787631.883,7.948838,0.387097
28.3569,169622.4736,4.2313,1798192.968,134.6751,0.545454
30.2397,173359.3259,4.3483,1781817.01,67.24092,0.516129
28.40498,166405.4283,4.3848,1787698.983,9.586959,0.575758
34.6159,175743.905,4.3169,1786439.792,8.769772,0.184467
39.5281,169763.4895,4.316,1354279.989,8.057514,0.448276
41.6811,164633.9993,4.2438,1527761.137,8.246578,0.333333
23.9946,177789.8839,4.34228,1716699.322,7.769196,0.315789
26.5052,177325.7679,4.3095,1748446.765,8.040463,0.321429
29.6327,183365.4418,4.2802,1658314.332,7.664958,0.359375
28.5222,167881.0178,4.3083,1709241.171,6.795538,0.515151
